Onset,stim
0,fix
8.05,cue
11.009,rh
23.164,cue
26.136,lf
38.291,cue
41.264,t
53.419,cue
56.391,rf
68.546,cue
71.518,lh
83.518,fix
98.667,cue
101.639,t
113.794,cue
116.766,lf
128.921,cue
131.894,rh
143.894,fix
159.043,cue
162.015,lh
174.17,cue
177.142,rf
189.142,fix
204.48,fix
212.53,cue
215.489,lh
227.644,cue
230.616,rf
242.616,fix
257.778,cue
260.737,t
272.892,cue
275.864,lf
288.019,cue
290.992,rh
302.992,fix
318.141,cue
321.113,lh
333.268,cue
336.24,t
348.395,cue
351.367,rf
363.522,cue
366.494,rh
378.649,cue
381.621,lf
393.621,fix
408.96,fix
417.01,cue
419.969,rh
432.124,cue
435.096,lf
447.251,cue
450.224,t
462.379,cue
465.351,rf
477.506,cue
480.478,lh
492.478,fix
507.627,cue
510.599,t
522.754,cue
525.726,lf
537.881,cue
540.854,rh
552.854,fix
568.003,cue
570.975,lh
583.13,cue
586.102,rf
598.102,fix
613.44,fix
621.49,cue
624.449,lh
636.604,cue
639.576,rf
651.576,fix
666.738,cue
669.697,t
681.852,cue
684.824,lf
696.979,cue
699.952,rh
711.952,fix
727.101,cue
730.073,lh
742.228,cue
745.2,t
757.355,cue
760.327,rf
772.482,cue
775.454,rh
787.609,cue
790.581,lf
802.581,fix
817.92,fix
825.97,cue
828.929,rh
841.084,cue
844.056,lf
856.211,cue
859.184,t
871.339,cue
874.311,rf
886.466,cue
889.438,lh
901.438,fix
916.587,cue
919.559,t
931.714,cue
934.686,lf
946.841,cue
949.814,rh
961.814,fix
976.963,cue
979.935,lh
992.09,cue
995.062,rf
1007.062,fix
1022.4,fix
1030.45,cue
1033.409,lh
1045.564,cue
1048.536,rf
1060.536,fix
1075.698,cue
1078.657,t
1090.812,cue
1093.784,lf
1105.939,cue
1108.912,rh
1120.912,fix
1136.061,cue
1139.033,lh
1151.188,cue
1154.16,t
1166.315,cue
1169.287,rf
1181.442,cue
1184.414,rh
1196.569,cue
1199.541,lf
1211.541,fix
1226.88,fix
1234.93,cue
1237.889,rh
1250.044,cue
1253.016,lf
1265.171,cue
1268.144,t
1280.299,cue
1283.271,rf
1295.426,cue
1298.398,lh
1310.398,fix
1325.547,cue
1328.519,t
1340.674,cue
1343.646,lf
1355.801,cue
1358.774,rh
1370.774,fix
1385.923,cue
1388.895,lh
1401.05,cue
1404.022,rf
1416.022,fix
1431.36,fix
1439.41,cue
1442.369,lh
1454.524,cue
1457.496,rf
1469.496,fix
1484.658,cue
1487.617,t
1499.772,cue
1502.744,lf
1514.899,cue
1517.872,rh
1529.872,fix
1545.021,cue
1547.993,lh
1560.148,cue
1563.12,t
1575.275,cue
1578.247,rf
1590.402,cue
1593.374,rh
1605.529,cue
1608.501,lf
1620.501,fix
1635.84,fix
1643.89,cue
1646.849,rh
1659.004,cue
1661.976,lf
1674.131,cue
1677.104,t
1689.259,cue
1692.231,rf
1704.386,cue
1707.358,lh
1719.358,fix
1734.507,cue
1737.479,t
1749.634,cue
1752.606,lf
1764.761,cue
1767.734,rh
1779.734,fix
1794.883,cue
1797.855,lh
1810.01,cue
1812.982,rf
1824.982,fix
1840.32,fix
1848.37,cue
1851.329,lh
1863.484,cue
1866.456,rf
1878.456,fix
1893.618,cue
1896.577,t
1908.732,cue
1911.704,lf
1923.859,cue
1926.832,rh
1938.832,fix
1953.981,cue
1956.953,lh
1969.108,cue
1972.08,t
1984.235,cue
1987.207,rf
1999.362,cue
2002.334,rh
2014.489,cue
2017.461,lf
2029.461,fix
2044.8,fix
2052.85,cue
2055.809,rh
2067.964,cue
2070.936,lf
2083.091,cue
2086.064,t
2098.219,cue
2101.191,rf
2113.346,cue
2116.318,lh
2128.318,fix
2143.467,cue
2146.439,t
2158.594,cue
2161.566,lf
2173.721,cue
2176.694,rh
2188.694,fix
2203.843,cue
2206.815,lh
2218.97,cue
2221.942,rf
2233.942,fix
2249.28,fix
2257.33,cue
2260.289,lh
2272.444,cue
2275.416,rf
2287.416,fix
2302.578,cue
2305.537,t
2317.692,cue
2320.664,lf
2332.819,cue
2335.792,rh
2347.792,fix
2362.941,cue
2365.913,lh
2378.068,cue
2381.04,t
2393.195,cue
2396.167,rf
2408.322,cue
2411.294,rh
2423.449,cue
2426.421,lf
2438.421,fix
2453.76,fix
2461.81,cue
2464.769,rh
2476.924,cue
2479.896,lf
2492.051,cue
2495.024,t
2507.179,cue
2510.151,rf
2522.306,cue
2525.278,lh
2537.278,fix
2552.427,cue
2555.399,t
2567.554,cue
2570.526,lf
2582.681,cue
2585.654,rh
2597.654,fix
2612.803,cue
2615.775,lh
2627.93,cue
2630.902,rf
2642.902,fix
2658.24,fix
2666.29,cue
2669.249,lh
2681.404,cue
2684.376,rf
2696.376,fix
2711.538,cue
2714.497,t
2726.652,cue
2729.624,lf
2741.779,cue
2744.752,rh
2756.752,fix
2771.901,cue
2774.873,lh
2787.028,cue
2790,t
2802.155,cue
2805.127,rf
2817.282,cue
2820.254,rh
2832.409,cue
2835.381,lf
2847.381,fix
2862.72,fix
2870.77,cue
2873.729,rh
2885.884,cue
2888.856,lf
2901.011,cue
2903.984,t
2916.139,cue
2919.111,rf
2931.266,cue
2934.238,lh
2946.238,fix
2961.387,cue
2964.359,t
2976.514,cue
2979.486,lf
2991.641,cue
2994.614,rh
3006.614,fix
3021.763,cue
3024.735,lh
3036.89,cue
3039.862,rf
3051.862,fix
3067.2,fix
3075.25,cue
3078.209,lh
3090.364,cue
3093.336,rf
3105.336,fix
3120.498,cue
3123.457,t
3135.612,cue
3138.584,lf
3150.739,cue
3153.712,rh
3165.712,fix
3180.861,cue
3183.833,lh
3195.988,cue
3198.96,t
3211.115,cue
3214.087,rf
3226.242,cue
3229.214,rh
3241.369,cue
3244.341,lf
3256.341,fix
3271.68,fix
3279.73,cue
3282.689,rh
3294.844,cue
3297.816,lf
3309.971,cue
3312.944,t
3325.099,cue
3328.071,rf
3340.226,cue
3343.198,lh
3355.198,fix
3370.347,cue
3373.319,t
3385.474,cue
3388.446,lf
3400.601,cue
3403.574,rh
3415.574,fix
3430.723,cue
3433.695,lh
3445.85,cue
3448.822,rf
3460.822,fix
3476.16,fix
3484.21,cue
3487.169,lh
3499.324,cue
3502.296,rf
3514.296,fix
3529.458,cue
3532.417,t
3544.572,cue
3547.544,lf
3559.699,cue
3562.672,rh
3574.672,fix
3589.821,cue
3592.793,lh
3604.948,cue
3607.92,t
3620.075,cue
3623.047,rf
3635.202,cue
3638.174,rh
3650.329,cue
3653.301,lf
3665.301,fix
3680.64,fix
3688.69,cue
3691.649,rh
3703.804,cue
3706.776,lf
3718.931,cue
3721.904,t
3734.059,cue
3737.031,rf
3749.186,cue
3752.158,lh
3764.158,fix
3779.307,cue
3782.279,t
3794.434,cue
3797.406,lf
3809.561,cue
3812.534,rh
3824.534,fix
3839.683,cue
3842.655,lh
3854.81,cue
3857.782,rf
3869.782,fix
3885.12,fix
3893.17,cue
3896.129,lh
3908.284,cue
3911.256,rf
3923.256,fix
3938.418,cue
3941.377,t
3953.532,cue
3956.504,lf
3968.659,cue
3971.632,rh
3983.632,fix
3998.781,cue
4001.753,lh
4013.908,cue
4016.88,t
4029.035,cue
4032.007,rf
4044.162,cue
4047.134,rh
4059.289,cue
4062.261,lf
4074.261,fix
4089.6,fix
4097.65,cue
4100.609,rh
4112.764,cue
4115.736,lf
4127.891,cue
4130.864,t
4143.019,cue
4145.991,rf
4158.146,cue
4161.118,lh
4173.118,fix
4188.267,cue
4191.239,t
4203.394,cue
4206.366,lf
4218.521,cue
4221.494,rh
4233.494,fix
4248.643,cue
4251.615,lh
4263.77,cue
4266.742,rf
4278.742,fix
4294.08,fix
4302.13,cue
4305.089,lh
4317.244,cue
4320.216,rf
4332.216,fix
4347.378,cue
4350.337,t
4362.492,cue
4365.464,lf
4377.619,cue
4380.592,rh
4392.592,fix
4407.741,cue
4410.713,lh
4422.868,cue
4425.84,t
4437.995,cue
4440.967,rf
4453.122,cue
4456.094,rh
4468.249,cue
4471.221,lf
4483.221,fix
4498.56,fix
4506.61,cue
4509.569,rh
4521.724,cue
4524.696,lf
4536.851,cue
4539.824,t
4551.979,cue
4554.951,rf
4567.106,cue
4570.078,lh
4582.078,fix
4597.227,cue
4600.199,t
4612.354,cue
4615.326,lf
4627.481,cue
4630.454,rh
4642.454,fix
4657.603,cue
4660.575,lh
4672.73,cue
4675.702,rf
4687.702,fix
4703.04,fix
4711.09,cue
4714.049,lh
4726.204,cue
4729.176,rf
4741.176,fix
4756.338,cue
4759.297,t
4771.452,cue
4774.424,lf
4786.579,cue
4789.552,rh
4801.552,fix
4816.701,cue
4819.673,lh
4831.828,cue
4834.8,t
4846.955,cue
4849.927,rf
4862.082,cue
4865.054,rh
4877.209,cue
4880.181,lf
4892.181,fix
4907.52,fix
4915.57,cue
4918.529,rh
4930.684,cue
4933.656,lf
4945.811,cue
4948.784,t
4960.939,cue
4963.911,rf
4976.066,cue
4979.038,lh
4991.038,fix
5006.187,cue
5009.159,t
5021.314,cue
5024.286,lf
5036.441,cue
5039.414,rh
5051.414,fix
5066.563,cue
5069.535,lh
5081.69,cue
5084.662,rf
5096.662,fix
5112,fix
5120.05,cue
5123.009,lh
5135.164,cue
5138.136,rf
5150.136,fix
5165.298,cue
5168.257,t
5180.412,cue
5183.384,lf
5195.539,cue
5198.512,rh
5210.512,fix
5225.661,cue
5228.633,lh
5240.788,cue
5243.76,t
5255.915,cue
5258.887,rf
5271.042,cue
5274.014,rh
5286.169,cue
5289.141,lf
5301.141,fix
5316.48,fix
5324.53,cue
5327.489,rh
5339.644,cue
5342.616,lf
5354.771,cue
5357.744,t
5369.899,cue
5372.871,rf
5385.026,cue
5387.998,lh
5399.998,fix
5415.147,cue
5418.119,t
5430.274,cue
5433.246,lf
5445.401,cue
5448.374,rh
5460.374,fix
5475.523,cue
5478.495,lh
5490.65,cue
5493.622,rf
5505.622,fix
5520.96,fix
5529.01,cue
5531.969,lh
5544.124,cue
5547.096,rf
